Willing to Travel (km),Aadhaar Collected?,Police Verified?,References Collected?,Health Certificate Uploaded?,Document Checklist Score,Willing to Do Night Shift?,flag_is_Last_Contact_Date_missing,flag_is_Next_Follow-up_Date_missing,flag_is_Last_Updated_missing,flag_is_Created_Date_missing
True,True,False,False,False,1/4,False,1,1,0,0
True,True,False,False,False,1/4,False,1,1,1,1
True,True,False,False,False,1/4,False,1,1,1,1
True,True,False,False,False,1/4,False,1,1,0,0
False,True,False,False,False,1/4,False,1,1,0,0
False,True,False,False,False,1/4,True,1,1,0,0
False,False,False,False,False,0/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,0,0
False,True,False,False,False,1/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,0,0
True,True,False,False,False,1/4,False,1,1,1,1
True,True,False,False,False,1/4,True,1,1,1,1
True,False,False,False,False,0/4,False,1,1,0,0
True,True,False,False,False,1/4,True,1,1,0,0
True,True,False,False,False,1/4,False,1,1,0,0
True,True,False,False,False,1/4,False,1,1,0,0
False,True,False,False,False,1/4,False,1,1,0,0
False,False,False,False,False,0/4,False,1,1,1,1
True,True,False,False,False,1/4,True,1,1,0,0
False,True,False,False,False,1/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,0,0
False,False,False,False,False,0/4,False,1,1,1,1
False,True,False,False,False,1/4,True,1,1,1,0
True,False,False,False,False,0/4,False,1,1,1,0
True,True,False,False,False,1/4,False,1,1,1,0
False,True,False,False,False,1/4,False,1,1,1,0
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
True,True,False,False,False,1/4,False,1,1,1,0
False,False,False,False,False,0/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,1,1
True,True,False,False,False,1/4,False,1,1,1,1
True,False,False,False,False,0/4,False,1,1,1,1
False,True,False,False,False,1/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
True,True,False,False,False,1/4,False,1,1,1,1
True,True,False,False,False,1/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
False,False,False,False,False,0/4,False,1,1,1,1
